8,8
3,5
21,20
18,2
14,19
4,20
11,1
18,4
4,22
22,3
14,5
23,14
18,0
17,8
8,2
8,17
13,7
18,2
4,22
15,9
2,6
15,9
9,6
8,9
0,17
18,7
15,10
7,16
8,22
2,20
21,4
4,13
11,7
20,14
20,4
15,13
7,5
20,8
18,17
5,3
8,3
12,17
19,1
6,15
1,8
0,23
1,14
5,2
9,6
9,13
1,6
3,9
10,22
23,5
5,0
6,15
4,11
1,14
20,12
8,16
4,19
11,2
13,3
12,11
2,6
5,12
11,18
9,15
0,15
13,2
11,1
14,20
4,21
10,0
19,3
10,21
3,8
2,23
2,18
8,22
0,16
17,6
17,13
21,20
5,21
7,13
3,12
14,19
7,16
18,10
21,7
23,13
0,5
10,15
13,7
2,23
16,17
17,11
5,2
3,4
21,9
19,22
5,20
17,9
20,5
6,15
7,13
16,5
13,11
0,20
4,19
21,23
22,17
10,14
16,1
19,1
0,16
8,8
16,5
3,10
7,0
10,22
8,8
21,6
18,7
3,9
17,5
5,7
12,19
15,9
2,16
2,6
11,17
1,7
17,4
2,8
23,5
14,19
17,4
13,14
14,4
6,3
4,3
22,7
3,13
13,1
3,0
12,7
9,1
1,7
